event,sex,rank,time_s,wind,name,country,birthdate,place,location,date,age
100m,male,1450,10.03,1.1,Asafa Powell,JAM,1982-11-23,1s2,Kingston,2009-06-27,9713
100m,male,1450,10.03,0.4,Mike Rodgers,USA,1985-04-24,5,Roma,2009-07-10,8843
100m,male,1450,10.03,0,Ivory Williams,USA,1985-05-02,1rA,Luzern,2009-07-15,8840
100m,male,1450,10.03,0.7,Marcus Rowland,USA,1990-03-11,1,Port of Spain,2009-07-31,7082
100m,male,1450,10.03,0.1,Usain Bolt,JAM,1986-08-21,2q5,Berlin,2009-08-15,8395
100m,male,1450,10.03,1.6,Churandy Martina,AHO,1984-07-03,1r1,El Paso,2010-04-10,9412
100m,male,1450,10.03,0.6,Christophe Lemaitre,FRA,1990-06-11,1r1,Franconville,2010-05-23,7286
100m,male,1450,10.03,1.7,Keston Bledman,TTO,1988-03-08,2,Port of Spain,2010-06-26,8145
100m,male,1450,10.03,1.2,Steve Mullings,JAM,1982-11-29,1h3,Lappeenranta,2010-07-15,10090
100m,male,1450,10.03,1,J-Mee Samuels,USA,1987-05-20,3r2,Nottwil,2010-08-08,8481
100m,male,1450,10.03,2,Maurice Mitchell,USA,1989-02-22,2,Durham,2011-04-23,8095
100m,male,1450,10.03,0.3,Mike Rodgers,USA,1985-04-24,2,Daegu,2011-05-12,9514
100m,male,1450,10.03,1.4,Mike Rodgers,USA,1985-04-24,1s1,Eugene,2011-06-24,9557
100m,male,1450,10.03,1,Christophe Lemaitre,FRA,1990-06-11,4,Monaco,2011-07-22,7711
100m,male,1450,10.03,0.1,Richard Thompson,TTO,1985-06-07,3rA,Zagreb,2011-09-13,9594
100m,male,1450,10.03,1.8,Lerone Clarke,JAM,1981-10-02,3rA,Kingston,2012-05-05,11173
100m,male,1450,10.03,1.3,Maurice Mitchell,USA,1989-02-22,1h3,Des Moines,2012-06-06,8505
100m,male,1450,10.03,0.7,Walter Dix,USA,1986-01-31,1h1,Eugene,2012-06-23,9640
100m,male,1450,10.03,1.6,Ryan Bailey,USA,1989-04-13,2h4,Eugene,2012-06-23,8472
100m,male,1450,10.03,1.4,Rondel Sorrillo,TTO,1986-01-21,3rA,Port of Spain,2012-06-23,9650
100m,male,1450,10.03,0,Justin Gatlin,USA,1982-02-10,2,Saint-Denis,2012-07-06,11104
100m,male,1450,10.03,-1.2,Tyson Gay,USA,1982-08-09,1,London,2012-07-13,10931
100m,male,1450,10.03,0,Nickel Ashmeade,JAM,1990-04-07,1,Linz,2012-08-20,8171
100m,male,1450,10.03,0.3,Kim Collins,SKN,1976-04-05,4,Bruxelles,2012-09-07,13304
100m,male,1450,10.03,0.3,Nickel Ashmeade,JAM,1990-04-07,5,Bruxelles,2012-09-07,8189
100m,male,1450,10.03,0.2,Nesta Carter,JAM,1985-11-10,2r1,Kingston,2013-05-04,10037
100m,male,1450,10.03,1.7,Charles Silmon,USA,1991-07-04,1h5,Austin,2013-05-23,7994
100m,male,1450,10.03,-0.2,Usain Bolt,JAM,1986-08-21,1s1,Kingston,2013-06-21,9801
100m,male,1450,10.03,-0.2,Nickel Ashmeade,JAM,1990-04-07,2s1,Kingston,2013-06-21,8476
100m,male,1450,10.03,0.8,James Dasaolu,GBR,1987-09-05,2,Birmingham,2013-06-30,9430
100m,male,1450,10.03,1.7,Churandy Martina,NED,1984-07-03,1rB,Lausanne,2013-07-04,10593
100m,male,1450,10.03,0.2,Kim Collins,SKN,1976-04-05,4rA,London,2013-07-26,13626
100m,male,1450,10.03,0.6,Jimmy Vicaut,FRA,1992-02-27,6,Bruxelles,2013-09-06,7862
100m,male,1450,10.03,1.5,Gerald Phiri,ZAM,1988-10-06,1r1,Clermont,2014-05-10,9347
100m,male,1450,10.03,1.5,Julian Forte,JAM,1993-07-01,1rA,Kingston,2014-05-17,7625
100m,male,1450,10.03,0,Mike Rodgers,USA,1985-04-24,2,Beijing,2014-05-21,10619
100m,male,1450,10.03,1.4,Keston Bledman,TTO,1988-03-08,1s3,Port of Spain,2014-06-21,9601
100m,male,1450,10.03,0.7,Jimmy Vicaut,FRA,1992-02-27,1rA,Braunschweig,2014-06-21,8150
100m,male,1450,10.03,-0.1,James Dasaolu,GBR,1987-09-05,1rB,Lausanne,2014-07-03,9798
100m,male,1450,10.03,1.4,Kemar Bailey-Cole,JAM,1992-01-10,1rB,Glasgow,2014-07-11,8218
100m,male,1450,10.03,0.3,James Dasaolu,GBR,1987-09-05,4rA,Glasgow,2014-07-11,9806
100m,male,1450,10.03,-0.1,James Dasaolu,GBR,1987-09-05,1,Marrakesh,2014-09-13,9870
100m,male,1450,10.03,0.9,Kim Collins,SKN,1976-04-05,4,Ad-Dawhah,2015-05-15,14284
100m,male,1450,10.03,0.9,Senoj-Jay Givans,JAM,1993-12-30,1h2,Eugene,2015-06-10,7832
100m,male,1450,10.03,1.8,Antoine Adams,SKN,1988-08-31,2,Basseterre,2015-06-13,9782
100m,male,1450,10.03,1.4,Mike Rodgers,USA,1985-04-24,4rA,Lausanne,2015-07-09,11033
100m,male,1450,10.03,1.4,Keston Bledman,TTO,1988-03-08,5rA,Lausanne,2015-07-09,9984
100m,male,1450,10.03,-0.3,Jimmy Vicaut,FRA,1992-02-27,3,Monaco,2015-07-17,8541
100m,male,1450,10.03,-0.1,Jak Ali Harvey,TUR,1989-04-05,1r3,Bellinzona,2015-07-21,9603
100m,male,1450,10.03,-0.1,Su Bingtian,CHN,1989-08-29,2h1,Beijing,2015-08-22,9489
100m,male,1450,10.03,1.1,Ameer Webb,USA,1989-12-21,2rA,Tempe,2016-04-09,9606
100m,male,1450,10.03,0.6,Isiah Young,USA,1990-01-05,2r1,Gainesville,2016-04-22,9604
100m,male,1450,10.03,0.6,Nickel Ashmeade,JAM,1990-04-07,3r1,Gainesville,2016-04-22,9512
100m,male,1450,10.03,1.1,Wayde van Niekerk,RSA,1992-07-15,1,Pietersburg,2016-04-29,8689
100m,male,1450,10.03,1.6,Nickel Ashmeade,JAM,1990-04-07,1h4,Clermont,2016-04-30,9520
100m,male,1450,10.03,1,Mike Rodgers,USA,1985-04-24,2,Kingston,2016-05-07,11336
100m,male,1450,10.03,0.4,Tyson Gay,USA,1982-08-09,1rA,Clermont,2016-05-14,12332
100m,male,1450,10.03,1.1,Yohan Blake,JAM,1989-12-26,1rA,Herzogenaurach,2016-05-14,9636
100m,male,1450,10.03,1.9,Tyson Gay,USA,1982-08-09,1h1,Clermont,2016-05-14,12332
100m,male,1450,10.03,2,Tyson Gay,USA,1982-08-09,1rA,Tampa,2016-05-27,12345
100m,male,1450,10.03,1.6,Christian Coleman,USA,1996-03-06,2h3,Eugene,2016-06-08,7399
100m,male,1450,10.03,1.6,Jason Livermore,JAM,1988-04-25,1rB,Kingston,2016-06-11,10274
100m,male,1450,10.03,1,Ramon Gittens,BAR,1987-07-20,7rA,Kingston,2016-06-11,10554
100m,male,1450,10.03,0.5,Julian Reus,GER,1988-04-29,1r2,Zeulenroda,2016-06-24,10283
100m,male,1450,10.03,0.7,Asafa Powell,JAM,1982-11-23,4,Kingston,2016-07-01,12274
100m,male,1450,10.03,0.7,Kemar Bailey-Cole,JAM,1992-01-10,5,Kingston,2016-07-01,8939
100m,male,1450,10.03,1.8,Justin Gatlin,USA,1982-02-10,1h2,Eugene,2016-07-02,12561
100m,male,1450,10.03,1.6,Tyson Gay,USA,1982-08-09,5,Eugene,2016-07-03,12382
100m,male,1450,10.03,1.5,Jimmy Vicaut,FRA,1992-02-27,1s1,Amsterdam,2016-07-07,8897
100m,male,1450,10.03,0.2,Ben Youssef Meité,CIV,1986-11-11,1h5,Rio de Janeiro,2016-08-13,10868
100m,male,1450,10.03,0.2,Jak Ali Harvey,TUR,1989-04-05,4s1,Rio de Janeiro,2016-08-14,9993
100m,male,1450,10.03,0.5,Ryota Yamagata,JPN,1992-06-10,1,Osaka,2016-09-25,8873
100m,male,1450,10.03,-0.8,Christian Coleman,USA,1996-03-06,1r1,Knoxville,2017-04-07,7702
100m,male,1450,10.03,0.7,Christian Coleman,USA,1996-03-06,1h1,Columbia,2017-05-12,7737
100m,male,1450,10.03,0.8,Odean Skeen,JAM,1994-08-28,2h2,Eugene,2017-06-07,8319
100m,male,1450,10.03,1.6,Nethaneel Mitchell-Blake,GBR,1994-04-02,4h3,Eugene,2017-06-07,8467
100m,male,1450,10.03,0.2,Usain Bolt,JAM,1986-08-21,1rA,Kingston,2017-06-10,11251
100m,male,1450,10.03,0.2,Ben Youssef Meité,CIV,1986-11-11,3,Oslo,2017-06-15,11174
100m,male,1450,10.03,0.2,Jeffery Demps,USA,1990-01-08,2h2,Sacramento,2017-06-22,10027
100m,male,1450,10.03,1.8,Yunier Pérez,CUB,1985-02-16,1rA,Sotteville-lès-Rouen,2017-07-07,11829
100m,male,1450,10.03,-0.2,Su Bingtian,CHN,1989-08-29,1h4,London,2017-08-04,10202
100m,male,1450,10.03,0,Reece Prescod,GBR,1996-02-29,3h3,London,2017-08-04,7827
100m,male,1450,10.03,0.8,Akani Simbine,RSA,1993-09-21,1,Gold Coast,2018-04-09,8966
100m,male,1450,10.03,1.9,Mike Rodgers,USA,1985-04-24,2,Des Moines,2018-04-28,12057
100m,male,1450,10.03,-0.7,Justin Gatlin,USA,1982-02-10,1,Ostrava,2018-06-13,13272
100m,male,1450,10.03,1.2,Abdullah Abkar Mohammed,KSA,1997-06-01,1rB,Paris,2018-06-30,7699
100m,male,1450,10.03,1.2,Hassan Taftian,IRI,1993-05-04,2rB,Paris,2018-06-30,9188
100m,male,1450,10.03,0.8,Yohan Blake,JAM,1989-12-26,5rA,Paris,2018-06-30,10413
100m,male,1450,10.03,0.3,Tyquendo Tracey,JAM,1993-06-10,1,London,2018-07-15,9166
100m,male,1450,10.03,0.5,Mario Burke,BAR,1997-03-18,2s2,Barranquilla,2018-07-29,7803
100m,male,1450,10.03,0.4,Tyquendo Tracey,JAM,1993-06-10,1,Toronto,2018-08-11,9193
100m,male,1450,10.03,0.9,Yohan Blake,JAM,1989-12-26,2h2,Birmingham,2018-08-18,10462
100m,male,1450,10.03,-0.3,Akani Simbine,RSA,1993-09-21,5,Bruxelles,2018-08-31,9110
100m,male,1450,10.03,0,Su Bingtian,CHN,1989-08-29,2,Ostrava,2018-09-09,10603
100m,male,1450,10.03,0.4,Paulo André de Oliveira,BRA,1998-08-20,1h1,Bragança Paulista,2018-09-14,7330
100m,male,1450,10.03,-0.9,Zharnel Hughes,GBR,1995-07-13,1,Baie Mahault,2019-05-18,8710
100m,male,1450,10.03,1.7,Lalu Muhammad Zohri,INA,2000-07-01,3,Osaka,2019-05-19,6896
100m,male,1450,10.03,0.8,Cravon Gillespie,USA,1996-07-31,1q2,Sacramento,2019-05-24,8332
100m,male,1450,10.03,1.1,Kendal Williams,USA,1995-09-23,2,Boston,2019-06-16,8667
100m,male,1450,10.03,1.7,Lamont Marcell Jacobs,ITA,1994-09-26,1r2,Padova,2019-07-16,9059
100m,male,1450,10.03,0.1,Aaron Brown,CAN,1992-05-27,1,Montréal,2019-07-26,9921
100m,male,1450,10.03,0.1,Andre De Grasse,CAN,1994-11-10,2,Montréal,2019-07-26,9024
100m,male,1450,10.03,0.1,Xie Zhenye,CHN,1993-08-17,1,Shenyang,2019-08-02,9481
100m,male,1450,10.03,-0.3,Hassan Taftian,IRI,1993-05-04,1rA,Paris,2019-08-24,9608
100m,male,1450,10.03,0.6,Zharnel Hughes,GBR,1995-07-13,6,Ad-Dawhah,2019-09-28,8843
100m,male,1648,10.04,0.3,Lennox Miller,JAM,1946-10-08,2,Ciudad de México,1968-10-14,8042
100m,male,1648,10.04,1,Mel Lattany,USA,1959-08-10,1,Athens,1981-04-11,7915
100m,male,1648,10.04,-2.2,Calvin Smith,USA,1961-01-08,1,Bruxelles,1983-08-26,8265
100m,male,1648,10.04,0.8,Carl Lewis,USA,1961-07-01,1q5,Los Angeles,1984-08-03,8434
100m,male,1648,10.04,1.8,Linford Christie,GBR,1960-04-02,1,Madrid,1986-06-04,9559
100m,male,1648,10.04,0.8,Chidi Imoh,NGR,1963-08-27,1r1,Moskva,1986-07-09,8352
100m,male,1648,10.04,1.8,Mark Witherspoon,USA,1963-09-03,1,San José,1987-06-27,8698
100m,male,1648,10.04,0.5,Emmit King,USA,1959-03-24,1,Tampa,1988-06-17,10678
100m,male,1648,10.04,1.1,Chidi Imoh,NGR,1963-08-27,3r2,Zürich,1988-08-17,9122
100m,male,1648,10.04,-0.6,Carl Lewis,USA,1961-07-01,1,Bruxelles,1988-08-19,9911
100m,male,1648,10.04,1.1,Dennis Mitchell,USA,1966-02-20,4,Seoul,1988-09-24,8252
100m,male,1648,10.04,0.8,Andre Cason,USA,1969-01-20,3,Houston,1989-06-16,7452
100m,male,1648,10.04,1.2,Calvin Smith,USA,1961-01-08,2,Sestriere,1990-08-08,10804
100m,male,1648,10.04,0.4,Leroy Burrell,USA,1967-02-21,1,Athínai,1990-09-07,8599
100m,male,1648,10.04,0,Dennis Mitchell,USA,1966-02-20,2r1,Lausanne,1991-07-10,9271
100m,male,1648,10.04,0.2,Davidson Ezinwa,NGR,1971-11-22,2s2,Lagos,1991-08-01,7192
100m,male,1648,10.04,-0.1,Chidi Imoh,NGR,1963-08-27,1,Lagos,1991-08-02,10202
100m,male,1648,10.04,-1,Leroy Burrell,USA,1967-02-21,1r1,Zürich,1991-08-07,8933
100m,male,1648,10.04,0,Leroy Burrell,USA,1967-02-21,1,Berlin,1991-09-10,8967
100m,male,1648,10.04,0.5,Dennis Mitchell,USA,1966-02-20,3,Barcelona,1992-08-01,9659
100m,male,1648,10.04,1.5,Frank Fredericks,NAM,1967-10-02,2,Villeneuve d'Ascq,1993-07-02,9405
100m,male,1648,10.04,0.8,Andre Cason,USA,1969-01-20,1r1,Lausanne,1993-07-07,8934
100m,male,1648,10.04,0.3,Daniel Effiong,NGR,1972-06-17,7,Stuttgart,1993-08-15,7729
100m,male,1648,10.04,1.2,Carl Lewis,USA,1961-07-01,1,Houston,1994-05-07,11998
100m,male,1648,10.04,1.2,Andre Cason,USA,1969-01-20,5r3,Lausanne,1994-07-06,9298
100m,male,1648,10.04,0.9,Andre Cason,USA,1969-01-20,2,Stockholm,1994-07-12,9304
100m,male,1648,10.04,1.8,Frank Fredericks,NAM,1967-10-02,1q3,Victoria,1994-08-22,9821
100m,male,1648,10.04,1.7,Dennis Mitchell,USA,1966-02-20,2r1,Berlin,1994-08-30,10418
100m,male,1648,10.04,0.6,Bruny Surin,CAN,1967-07-12,1h3,Montréal,1995-07-14,10229
100m,male,1648,10.04,-0.5,Ato Boldon,TTO,1973-12-30,1q5,Göteborg,1995-08-05,7888
100m,male,1648,10.04,1.8,Donovan Bailey,CAN,1967-12-16,1s2,Göteborg,1995-08-06,10095
100m,male,1648,10.04,0.8,Donovan Bailey,CAN,1967-12-16,1h2,Zürich,1995-08-16,10105
100m,male,1648,10.04,0.8,Ato Boldon,TTO,1973-12-30,1r1,Westwood,1996-05-04,8161
100m,male,1648,10.04,0.8,Linford Christie,GBR,1960-04-02,1,Madrid,1996-06-01,13209
100m,male,1648,10.04,0.4,Michael Green,JAM,1970-11-07,2,Moskva,1996-06-07,9344
100m,male,1648,10.04,0.6,Carl Lewis,USA,1961-07-01,3q1,Atlanta,1996-06-14,12767
100m,male,1648,10.04,0.1,Linford Christie,GBR,1960-04-02,1,Birmingham,1996-06-15,13223
100m,male,1648,10.04,0,Bruny Surin,CAN,1967-07-12,2,Montréal,1996-06-21,10572
100m,male,1648,10.04,0.7,Donovan Bailey,CAN,1967-12-16,2,Paris,1996-06-28,10422
100m,male,1648,10.04,-0.4,Linford Christie,GBR,1960-04-02,5r1,Lausanne,1996-07-03,13241
100m,male,1648,10.04,-1.2,Michael Marsh,USA,1967-08-04,1q5,Atlanta,1996-07-26,10584
100m,male,1648,10.04,-0.6,Linford Christie,GBR,1960-04-02,3s2,Atlanta,1996-07-27,13265
100m,male,1648,10.04,-0.6,Davidson Ezinwa,NGR,1971-11-22,4s2,Atlanta,1996-07-27,9014
100m,male,1648,10.04,0.1,Michael Green,JAM,1970-11-07,1h1,Zürich,1996-08-14,9412
100m,male,1648,10.04,-1.4,Dennis Mitchell,USA,1966-02-20,1,Zürich,1996-08-14,11133
100m,male,1648,10.04,1.6,Kenny Brokenburr,USA,1968-10-29,1h5,Indianapolis,1997-06-12,10453
100m,male,1648,10.04,1.6,Leroy Burrell,USA,1967-02-21,2h6,Indianapolis,1997-06-12,11069
100m,male,1648,10.04,0.2,Brian Lewis,USA,1974-12-05,5,Indianapolis,1997-06-13,8226
100m,male,1648,10.04,0.2,Linford Christie,GBR,1960-04-02,1,München,1997-06-21,13594
100m,male,1648,10.04,0,Maurice Greene,USA,1974-07-23,2,Stuttgart,1997-07-13,8391
100m,male,1648,10.04,0.2,Frank Fredericks,NAM,1967-10-02,1,Tokyo,1997-09-06,10932
100m,male,1648,10.04,1.9,Davidson Ezinwa,NGR,1971-11-22,1,Jena,1998-05-24,9680
100m,male,1648,10.04,1.9,Jonathan Carter,USA,1972-05-05,2h1,New Orleans,1998-06-19,9541
100m,male,1648,10.04,0,Maurice Greene,USA,1974-07-23,3,Roma,1998-07-14,8757
100m,male,1648,10.04,-1.1,Frank Fredericks,NAM,1967-10-02,1h2,Zürich,1998-08-12,11272
100m,male,1648,10.04,-0.6,Frank Fredericks,NAM,1967-10-02,3,Zürich,1998-08-12,11272
100m,male,1648,10.04,0.3,Darren Campbell,GBR,1973-09-12,1,Budapest,1998-08-19,9107
100m,male,1648,10.04,1.6,Obadele Thompson,BAR,1976-03-30,1,Hiroshima,1999-04-29,8430
100m,male,1648,10.04,2,Leonard Myles-Mills,GHA,1973-05-09,1,Logan,1999-05-12,9499
100m,male,1648,10.04,1.8,Tim Harden,USA,1974-01-27,1r4,Luzern,1999-07-05,9290
100m,male,1648,10.04,1.8,Leonard Myles-Mills,GHA,1973-05-09,2r4,Luzern,1999-07-05,9553
100m,male,1648,10.04,0.8,Bruny Surin,CAN,1967-07-12,2,Roma,1999-07-07,11683
100m,male,1648,10.04,0.6,Jon Drummond,USA,1968-09-09,3,Stockholm,1999-07-30,11281
100m,male,1648,10.04,-0.6,Dwain Chambers,GBR,1978-04-05,3r2,London,1999-08-07,7794
100m,male,1648,10.04,-0.1,Jason Gardener,GBR,1975-09-18,1q1,Sevilla,1999-08-21,8738
100m,male,1648,10.04,0.3,Obadele Thompson,BAR,1976-03-30,1q2,Sevilla,1999-08-21,8544
100m,male,1648,10.04,0.2,Tim Montgomery,USA,1975-01-28,6,Sevilla,1999-08-22,8972
100m,male,1648,10.04,0.1,Bruny Surin,CAN,1967-07-12,1,Bruxelles,1999-09-03,11741
100m,male,1648,10.04,1.8,Kenny Brokenburr,USA,1968-10-29,1,Durham,2000-04-08,11484
100m,male,1648,10.04,0.5,Terrence Trammell,USA,1978-11-23,1s2,Durham,2000-06-02,7862
100m,male,1648,10.04,0.2,Coby Miller,USA,1976-10-19,2,Raleigh,2000-06-17,8642
100m,male,1648,10.04,0.8,Obadele Thompson,BAR,1976-03-30,1q3,Sydney,2000-09-22,8942
100m,male,1648,10.04,1.9,Ato Boldon,TTO,1973-12-30,1h8,Sydney,2000-09-22,9763
100m,male,1648,10.04,-0.3,Obadele Thompson,BAR,1976-03-30,3,Sydney,2000-09-23,8943
100m,male,1648,10.04,-0.2,Kim Collins,SKN,1976-04-05,1,Ciudad de Guatemala,2001-07-20,9237
100m,male,1648,10.04,0.4,Abdul Aziz Zakari,GHA,1976-09-02,1,Linz,2001-08-20,9118
100m,male,1648,10.04,0,Ato Boldon,TTO,1973-12-30,1,Bruxelles,2001-08-24,10099
100m,male,1648,10.04,0,Abdul Aziz Zakari,GHA,1976-09-02,2,Bruxelles,2001-08-24,9122
100m,male,1648,10.04,1.8,Abdul Aziz Zakari,GHA,1976-09-02,1,Rieti,2001-09-02,9131
100m,male,1648,10.04,1.4,Kim Collins,SKN,1976-04-05,2,Portland,2002-05-18,9539
100m,male,1648,10.04,0.4,Mark Lewis-Francis,GBR,1982-09-04,3,Saint-Denis,2002-07-05,7244
100m,male,1648,10.04,0.3,Jon Drummond,USA,1968-09-09,3,Bruxelles,2002-08-30,12408
100m,male,1648,10.04,-0.1,Deji Aliu,NGR,1975-11-22,1rA,Lausanne,2003-07-01,10083
100m,male,1648,10.04,-0.3,John Capel,USA,1978-11-27,1rA,Roma,2003-07-11,8992
100m,male,1648,10.04,0.9,Deji Aliu,NGR,1975-11-22,1h1,London,2003-08-08,10121
100m,male,1648,10.04,0.6,Maurice Greene,USA,1974-07-23,2q4,Saint-Denis,2003-08-24,10624
100m,male,1648,10.04,0.6,Deji Aliu,NGR,1975-11-22,3q4,Saint-Denis,2003-08-24,10137
100m,male,1648,10.04,1.9,Bernard Williams,USA,1978-01-19,1,Monaco,2003-09-13,9368
100m,male,1648,10.04,0,Maurice Greene,USA,1974-07-23,1r1,Osaka,2004-05-08,10882
100m,male,1648,10.04,0.8,Bernard Williams,USA,1978-01-19,4s2,Sacramento,2004-07-11,9670
100m,male,1648,10.04,0,Bernard Williams,USA,1978-01-19,6,Sacramento,2004-07-11,9670
100m,male,1648,10.04,-0.3,Leonard Scott,USA,1980-01-19,3,London,2004-07-30,8959
100m,male,1648,10.04,0.2,Abdul Aziz Zakari,GHA,1976-09-02,3,Bruxelles,2004-09-03,10228
100m,male,1648,10.04,1.2,Abdul Aziz Zakari,GHA,1976-09-02,1r3,Haniá,2005-06-06,10504
100m,male,1648,10.04,1.6,Francis Obikwelu,POR,1978-11-22,4,Athínai,2005-06-14,9701
100m,male,1648,10.04,0.1,Asafa Powell,JAM,1982-11-23,1,Kingston,2005-06-25,8250
100m,male,1648,10.04,1,Aaron Armstrong,TTO,1977-10-14,3,Port of Spain,2005-06-25,10116
100m,male,1648,10.04,1.1,Abdul Aziz Zakari,GHA,1976-09-02,1,Saint-Denis,2005-07-01,10529
100m,male,1648,10.04,1.2,Justin Gatlin,USA,1982-02-10,1,Yokohama,2005-09-19,8622
100m,male,1648,10.04,1.9,Churandy Martina,AHO,1984-07-03,1r1,El Paso,2006-04-15,7956
100m,male,1648,10.04,1.6,Jason Smoots,USA,1980-07-13,1r3,Modesto,2006-05-06,9428
100m,male,1648,10.04,1.5,Tyson Gay,USA,1982-08-09,2,Carson,2006-05-21,8686
100m,male,1648,10.04,1.5,Marc Burns,TTO,1983-01-07,3,Carson,2006-05-21,8535
100m,male,1648,10.04,-0.1,Tyson Gay,USA,1982-08-09,1,New York City,2006-06-03,8699
100m,male,1648,10.04,0.5,Marcus Brunson,USA,1978-04-24,2rA,Roma,2006-07-14,10308
100m,male,1648,10.04,0.5,Tyson Gay,USA,1982-08-09,3rA,Roma,2006-07-14,8740
100m,male,1648,10.04,-0.6,Shawn Crawford,USA,1978-01-14,3,London,2006-07-28,10422
100m,male,1648,10.04,0.9,Marcus Brunson,USA,1978-04-24,5,Stuttgart,2006-09-09,10365
100m,male,1648,10.04,1.9,Mark Jelks,USA,1984-04-10,1h4,Indianapolis,2007-06-21,8472
100m,male,1648,10.04,1,Asafa Powell,JAM,1982-11-23,1,Kingston,2007-06-23,8978
100m,male,1648,10.04,0,Derrick Atkins,BAH,1984-01-05,1rA,Lausanne,2007-07-10,8587
100m,male,1648,10.04,-0.3,Asafa Powell,JAM,1982-11-23,1rA,Stockholm,2007-08-07,9023
100m,male,1648,10.04,0.3,Derrick Atkins,BAH,1984-01-05,1s1,Osaka,2007-08-26,8634
100m,male,1648,10.04,-0.2,Asafa Powell,JAM,1982-11-23,1rA,Melbourne,2008-02-21,9221
100m,male,1648,10.04,1,Preston Perry,USA,1983-09-13,1r2,Provo,2008-05-24,9020
100m,male,1648,10.04,0.1,Mark Jelks,USA,1984-04-10,1,Clermont,2008-06-14,8831
100m,male,1648,10.04,1.7,Nesta Carter,JAM,1985-11-10,1s3,Kingston,2008-06-28,8266
100m,male,1648,10.04,1.4,Darvis Patton,USA,1977-12-04,1h3,Eugene,2008-06-28,11164
100m,male,1648,10.04,-0.1,Michael Frater,JAM,1982-10-06,3,Kingston,2008-06-28,9397
100m,male,1648,10.04,0.5,Darvis Patton,USA,1977-12-04,1s2,Eugene,2008-06-29,11165
100m,male,1648,10.04,0.2,Francis Obikwelu,POR,1978-11-22,1,Roma,2008-07-11,10824
100m,male,1648,10.04,0.2,Derrick Atkins,BAH,1984-01-05,2,Roma,2008-07-11,8954
100m,male,1648,10.04,1,Michael Frater,JAM,1982-10-06,2rB,Stockholm,2008-07-22,9421
100m,male,1648,10.04,-0.5,Nesta Carter,JAM,1985-11-10,6,London,2008-07-25,8293
100m,male,1648,10.04,0.1,Darvis Patton,USA,1977-12-04,2q4,Beijing,2008-08-15,11212
100m,male,1648,10.04,0.2,Michael Frater,JAM,1982-10-06,4rA,Lausanne,2008-09-02,9463
100m,male,1648,10.04,1,Travis Padgett,USA,1986-12-13,1h1,Ad-Dawhah,2009-05-08,8182
100m,male,1648,10.04,0.9,Jacoby Ford,USA,1987-07-27,1,Greensboro,2009-05-30,7978
100m,male,1648,10.04,1.7,D'Angelo Cherry,USA,1990-08-01,1h4,Fayetteville,2009-06-10,6888
100m,male,1648,10.04,0.5,Marc Burns,TTO,1983-01-07,3,Port of Spain,2009-06-20,9661
100m,male,1648,10.04,0.4,Richard Thompson,TTO,1985-06-07,3h2,Roma,2009-07-10,8799
100m,male,1648,10.04,-0.2,Richard Thompson,TTO,1985-06-07,3,Saint-Denis,2009-07-17,8806
100m,male,1648,10.04,1.1,Mark Jelks,USA,1984-04-10,2r2,Réthymno,2009-07-20,9232
100m,male,1648,10.04,0.2,Christophe Lemaitre,FRA,1990-06-11,1,Novi Sad,2009-07-24,6983
100m,male,1648,10.04,-0.7,Dwain Chambers,GBR,1978-04-05,1q1,Berlin,2009-08-15,11455
100m,male,1648,10.04,-0.2,Dwain Chambers,GBR,1978-04-05,4s2,Berlin,2009-08-16,11456
100m,male,1648,10.04,0.2,Mike Rodgers,USA,1985-04-24,5s1,Berlin,2009-08-16,8880
100m,male,1648,10.04,0,Michael Frater,JAM,1982-10-06,6rA,Zürich,2009-08-28,9823
100m,male,1648,10.04,0.6,Nesta Carter,JAM,1985-11-10,3,Zagreb,2009-08-31,8695
100m,male,1648,10.04,-1.5,Walter Dix,USA,1986-01-31,1,Des Moines,2010-06-25,8911
100m,male,1648,10.04,0.5,Dwain Chambers,GBR,1978-04-05,3,Strasbourg,2011-06-12,12121
100m,male,1648,10.04,0.7,Jeffery Demps,USA,1990-01-08,1h4,Eugene,2011-06-23,7836
100m,male,1648,10.04,1.3,Trell Kimmons,USA,1985-07-13,4,Eugene,2011-06-24,9477
100m,male,1648,10.04,0,Nesta Carter,JAM,1985-11-10,1h2,London,2011-08-05,9399
100m,male,1648,10.04,0,Walter Dix,USA,1986-01-31,3r3,Zürich,2011-09-08,9351
100m,male,1648,10.04,-0.3,Walter Dix,USA,1986-01-31,1h2,Rieti,2011-09-10,9353
100m,male,1648,10.04,0.2,Kim Collins,SKN,1976-04-05,2,Guadalajara,2011-10-25,12986
100m,male,1648,10.04,1.1,Darvis Patton,USA,1977-12-04,1rA,Arlington,2012-03-24,12529
100m,male,1648,10.04,-0.8,Usain Bolt,JAM,1986-08-21,1rA,Ostrava,2012-05-25,9409
100m,male,1648,10.04,0.5,Travis Padgett,USA,1986-12-13,2,Orlando,2012-05-26,9296
100m,male,1648,10.04,-0.1,Christophe Lemaitre,FRA,1990-06-11,3,Roma,2012-05-31,8025
100m,male,1648,10.04,1.3,Trell Kimmons,USA,1985-07-13,3,Eugene,2012-06-02,9821
100m,male,1648,10.04,1.3,Walter Dix,USA,1986-01-31,4,Eugene,2012-06-02,9619
